hour,hour,radio
0,,0.04428658786604785
1,,0.03534301407251346
2,,0.029911075818115855
3,,0.02471445334726865
4,,0.0208022300695795
5,,0.0186214272728632
6,,0.020023090853141714
7,,0.023221496687084307
8,,0.026741002319316448
9,,0.034555217753670826
10,,0.049047207179413715
11,,0.05437526020495297
12,,0.054951351019531226
13,,0.04860018589159891
14,,0.05196543769916257
15,,0.051309071935011934
16,,0.04999948844394883
17,,0.05116426222205783
18,,0.052423477117310824
19,,0.05562660500711063
20,,0.05345524632210869
21,,0.04989481620578086
22,,0.05007582834697348
23,,0.04889216634543572
